state,total_deliveries,delivery_date_amount_longer_than_expected,average_delivery_date_failed
SP,9824,385,3.92
DF,800,100,12.5
PR,3101,95,3.06
RJ,2747,146,5.31
PA,1229,19,1.55
SC,1789,274,15.32
PB,794,15,1.89
BA,3133,20,0.64
GO,2426,120,4.95
AP,73,5,6.85
MG,5834,171,2.93
AL,532,10,1.88
MA,711,19,2.67
CE,1733,17,0.98
MS,723,10,1.38
ES,903,27,2.99
MT,858,44,5.13
RN,452,70,15.49
AC,105,1,0.95
RS,1485,295,19.87
PE,1480,10,0.68
RO,436,3,0.69
SE,371,1,0.27
PI,482,6,1.24
TO,304,5,1.64
AM,328,28,8.54
RR,57,0,0.0
